"tournament","league","region","year","champion","ingamerole","ban_count","pick_count","player_count","win_count","loss_count","kills","deaths","assists","gold_summed","cs_summed","damage_summed"
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Aatrox","Mid",29,1,1,1,0,3,0,6,12635,290,15981
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Aatrox","Top",29,28,11,12,16,59,66,117,341137,7585,437500
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Akali","Mid",31,1,1,1,0,10,0,6,16106,307,24433
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Akali","Top",31,5,4,3,2,15,14,24,58254,1222,80543
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Alistar","Support",58,89,10,43,46,48,250,654,650726,3147,338199
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Aphelios","Bot",54,43,11,22,21,156,99,162,631533,14196,658877
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Ashe","Bot",0,1,1,0,1,1,4,7,14874,351,14006
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Azir","Mid",72,62,12,31,31,152,136,328,806466,18505,1054956
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Blitzcrank","Support",0,1,1,0,1,2,9,9,11116,48,6051
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Braum","Support",0,2,2,1,1,0,6,12,14831,82,12989
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Camille","Top",49,37,9,19,18,116,111,180,502925,10395,545099
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Cassiopeia","Top",0,2,1,0,2,4,12,5,20383,452,22784
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Cassiopeia","Mid",0,1,1,0,1,0,4,4,10080,259,11097
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Cho'Gath","Top",1,6,2,3,3,13,12,26,64374,1420,63680
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Corki","Mid",0,2,2,1,1,9,6,13,31890,680,40648
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Dr. Mundo","Jungle",2,5,1,1,4,17,13,23,65898,1245,84500
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Ekko","No Pick",3,0,0,0,0,0,0,0,0,0,0
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Ezreal","Bot",14,15,8,11,4,71,24,52,206778,4501,304234
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Fizz","Top",0,1,1,1,0,4,3,6,14115,251,13692
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Galio","Mid",32,6,5,2,4,9,11,35,67951,1600,65398
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Galio","Support",32,22,9,12,10,17,71,166,174750,934,136535
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Gangplank","Top",15,15,8,5,10,44,35,75,234099,4629,352388
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Gnar","Top",112,81,11,36,45,181,241,379,1042116,21851,1239113
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Gragas","Mid",62,1,1,1,0,4,1,9,13010,245,12031
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Gragas","Top",62,50,11,26,24,99,103,313,583767,11877,790540
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Gragas","Support",62,27,8,14,13,29,99,184,202945,964,188593
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Graves","Mid",40,1,1,0,1,0,4,1,7994,186,4488
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Graves","Jungle",40,54,13,28,26,186,117,268,680314,13249,694339
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Hecarim","Jungle",39,35,13,19,16,107,88,267,386305,6977,364224
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Heimerdinger","Support",0,1,1,1,0,5,7,8,13460,211,18502
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Irelia","Mid",30,2,1,1,1,5,7,15,24671,541,19396
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Irelia","Top",30,9,6,7,2,35,27,56,141655,3027,143384
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Janna","Support",0,1,1,1,0,1,1,7,7732,15,7177
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Jarvan IV","Support",4,5,2,3,2,5,23,51,42562,121,32559
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Jarvan IV","Jungle",4,2,2,1,1,3,3,10,21494,370,16224
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Jax","Top",1,1,1,0,1,0,1,0,12513,306,12010
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Jayce","Top",32,22,7,12,10,54,69,111,283109,6010,424890
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Jhin","Bot",0,13,8,3,10,42,31,41,179751,4019,171590
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Jinx","Bot",4,17,7,11,6,80,30,86,270002,6028,361046
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Kai'Sa","Bot",35,153,13,71,82,637,316,540,2230933,49415,2199709
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Kalista","Bot",59,16,7,10,6,63,32,95,238604,5177,215331
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Karma","Top",0,1,1,0,1,1,3,3,9898,239,16319
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Karma","Support",0,2,1,1,1,1,3,15,21319,314,27748
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Karthus","Jungle",1,2,2,1,1,6,8,8,27667,526,59065
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Kassadin","No Pick",1,0,0,0,0,0,0,0,0,0,0
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Kayle","Top",0,1,1,0,1,3,4,2,13074,271,16782
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Kayn","Jungle",4,6,2,3,3,20,29,29,81728,1605,89977
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Kennen","Top",11,6,4,3,3,7,16,30,67366,1474,96568
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Kindred","Jungle",9,11,3,7,4,30,37,63,130321,2501,149933
