"team","currentname","year_since"
"BNK FearX","BNK FearX",2024
"FearX","BNK FearX",2024
"Liiv SANDBOX","BNK FearX",2021
"Dplus KIA","Dplus KIA",2023
"DWG KIA","Dplus KIA",2021
"DRX","DRX",2021
"Gen.G","Gen.G",2021
"Hanwha Life Esports","Hanwha Life Esports",2021
"KT Rolster","KT Rolster",2021
"Afreeca Freecs","Kwangdong Freecs",2021
"Kwangdong Freecs","Kwangdong Freecs",2022
"Nongshim RedForce","Nongshim RedForce",2021
"BRION","OKSavingsBank BRION",2023
"Fredit BRION","OKSavingsBank BRION",2021
"OKSavingsBank BRION","OKSavingsBank BRION",2023
"T1","T1",2021
