"tournament","league","region","year","team","player","ingamerole","total_champions_played","total_matches","matches_won","matches_lost","total_games","games_won","games_lost","kills","deaths","assists","gold_summed","cs_summed","damage_summed"
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Afreeca Freecs","Bang","Bot",10,18,11,13,42,16,26,152,95,150,582148,12479,577439
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Afreeca Freecs","Dread","Jungle",11,18,11,13,42,16,26,151,103,221,503520,9291,512734
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Afreeca Freecs","Fly","Mid",14,18,11,13,42,16,26,92,122,235,523147,11484,598665
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Afreeca Freecs","Kiin","Top",16,18,11,13,42,16,26,85,124,213,526704,11287,687894
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Afreeca Freecs","Lehends","Support",11,18,11,13,41,16,25,29,130,296,315656,1766,215314
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"Afreeca Freecs","MapSSi","Support",1,1,0,1,1,0,1,0,5,12,8221,56,11549
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"DRX","BAO","Bot",10,18,12,17,47,21,26,179,104,152,668062,14781,703830
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"DRX","Becca","Support",12,18,12,17,47,21,26,35,150,313,357506,1946,206289
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"DRX","Kingen","Top",16,18,12,17,47,21,26,91,121,250,599280,12260,738667
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"DRX","Pyosik","Jungle",10,18,12,17,47,21,26,133,122,238,585118,11461,642668
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"DRX","SOLKA","Mid",8,18,12,17,47,21,26,80,102,270,585199,13573,757370
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"DWG KIA","BeryL","Support",13,18,17,8,43,33,10,50,150,388,364229,2389,304878
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"DWG KIA","Canyon","Jungle",9,18,17,8,43,33,10,157,96,289,547777,10179,602230
"LCK 2021 Spring","LoL Champions Korea","Korea",2021,"DWG KIA","Ghost","Bot",9,18,17,8,43,33,10,204,75,225,636873,12793,694257
