"tournament","league","region","year","overviewpage","date","place","place_number","team","date_precision","currentname","final_matchid","datetime_utc","final_round","opposing_team","match_won","final_match_games_won","final_match_games_lost"
"LCK 2021 Spring Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Spring Playoffs","2021-03-31","6",6,"Nongshim RedForce",1,"Nongshim RedForce","LCK/2021 Season/Spring Playoffs_Quarterfinals_1","2021-03-31 12:05:00","Quarterfinals","Hanwha Life Esports",0,2,3
"LCK 2021 Spring Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Spring Playoffs","2021-04-01","5",5,"DRX",1,"DRX","LCK/2021 Season/Spring Playoffs_Quarterfinals_2","2021-04-01 10:58:00","Quarterfinals","T1",0,1,3
"LCK 2021 Spring Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Spring Playoffs","2021-04-03","3",3,"Hanwha Life Esports",1,"Hanwha Life Esports","LCK/2021 Season/Spring Playoffs_Semifinals_1","2021-04-03 09:39:00","Semifinals","DWG KIA",0,0,3
"LCK 2021 Spring Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Spring Playoffs","2021-04-04","4",4,"T1",1,"T1","LCK/2021 Season/Spring Playoffs_Semifinals_2","2021-04-04 09:58:00","Semifinals","Gen.G",0,0,3
"LCK 2021 Spring Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Spring Playoffs","2021-04-10","1",1,"DWG KIA",1,"Dplus KIA","LCK/2021 Season/Spring Playoffs_Finals_1","2021-04-10 10:29:00","Finals","Gen.G",1,3,0
"LCK 2021 Spring Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Spring Playoffs","2021-04-10","2",2,"Gen.G",1,"Gen.G","LCK/2021 Season/Spring Playoffs_Finals_1","2021-04-10 10:29:00","Finals","DWG KIA",0,0,3
"LCK 2021 Summer Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Summer Playoffs","2021-08-18","6",6,"Afreeca Freecs",1,"Kwangdong Freecs","LCK/2021 Season/Summer Playoffs_Quarterfinals_1","2021-08-18 10:44:00","Quarterfinals","Nongshim RedForce",0,1,3
"LCK 2021 Summer Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Summer Playoffs","2021-08-19","5",5,"Liiv SANDBOX",1,"BNK FearX","LCK/2021 Season/Summer Playoffs_Quarterfinals_2","2021-08-19 09:55:00","Quarterfinals","T1",0,0,3
"LCK 2021 Summer Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Summer Playoffs","2021-08-21","4",4,"Nongshim RedForce",1,"Nongshim RedForce","LCK/2021 Season/Summer Playoffs_Semifinals_1","2021-08-21 09:42:00","Semifinals","DWG KIA",0,0,3
"LCK 2021 Summer Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Summer Playoffs","2021-08-22","3",3,"Gen.G",1,"Gen.G","LCK/2021 Season/Summer Playoffs_Semifinals_2","2021-08-22 11:01:00","Semifinals","T1",0,1,3
"LCK 2021 Summer Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Summer Playoffs","2021-08-28","1",1,"DWG KIA",1,"Dplus KIA","LCK/2021 Season/Summer Playoffs_Finals_1","2021-08-28 11:09:00","Finals","T1",1,3,1
"LCK 2021 Summer Playoffs","LoL Champions Korea","Korea",2021,"LCK/2021 Season/Summer Playoffs","2021-08-28","2",2,"T1",1,"T1","LCK/2021 Season/Summer Playoffs_Finals_1","2021-08-28 11:09:00","Finals","DWG KIA",0,1,3
"LCK 2022 Spring Playoffs","LoL Champions Korea","Korea",2022,"LCK/2022 Season/Spring Playoffs","2022-03-23","6",6,"Fredit BRION",1,"OKSavingsBank BRION","LCK/2022 Season/Spring Playoffs_Quarterfinals_1","2022-03-23 10:08:00","Quarterfinals","DWG KIA",0,0,3
