"tournament","league","year","place","team","currentname","matches_won","matches_lost","games_won","games_lost"
"LCK 2021 Spring","LoL Champions Korea",2021,"1","DWG KIA","Dplus KIA",16,2,33,10
"LCK 2021 Spring","LoL Champions Korea",2021,"10","Fredit BRION","OKSavingsBank BRION",5,13,12,27
"LCK 2021 Spring","LoL Champions Korea",2021,"2","Gen.G","Gen.G",13,5,29,15
"LCK 2021 Spring","LoL Champions Korea",2021,"3","Hanwha Life Esports","Hanwha Life Esports",12,6,26,18
"LCK 2021 Spring","LoL Champions Korea",2021,"4","T1","T1",11,7,27,17
"LCK 2021 Spring","LoL Champions Korea",2021,"5","DRX","DRX",9,9,21,26
"LCK 2021 Spring","LoL Champions Korea",2021,"6","Nongshim RedForce","Nongshim RedForce",7,11,18,24
"LCK 2021 Spring","LoL Champions Korea",2021,"7","KT Rolster","KT Rolster",6,12,18,27
"LCK 2021 Spring","LoL Champions Korea",2021,"8","Liiv SANDBOX","BNK FearX",6,12,15,25
"LCK 2021 Spring","LoL Champions Korea",2021,"9","Afreeca Freecs","Kwangdong Freecs",5,13,16,26
"LCK 2021 Summer","LoL Champions Korea",2021,"1","DWG KIA","Dplus KIA",12,6,29,14
"LCK 2021 Summer","LoL Champions Korea",2021,"10","DRX","DRX",2,16,9,34
"LCK 2021 Summer","LoL Champions Korea",2021,"2","Gen.G","Gen.G",12,6,27,19
"LCK 2021 Summer","LoL Champions Korea",2021,"3","Nongshim RedForce","Nongshim RedForce",12,6,27,19
"LCK 2021 Summer","LoL Champions Korea",2021,"4","T1","T1",11,7,25,19
"LCK 2021 Summer","LoL Champions Korea",2021,"5","Liiv SANDBOX","BNK FearX",11,7,26,21
"LCK 2021 Summer","LoL Champions Korea",2021,"6","Afreeca Freecs","Kwangdong Freecs",11,7,25,21
"LCK 2021 Summer","LoL Champions Korea",2021,"7","KT Rolster","KT Rolster",7,11,21,25
"LCK 2021 Summer","LoL Champions Korea",2021,"8","Hanwha Life Esports","Hanwha Life Esports",7,11,17,26
"LCK 2021 Summer","LoL Champions Korea",2021,"9","Fredit BRION","OKSavingsBank BRION",5,13,20,28
"LCK 2022 Spring","LoL Champions Korea",2022,"1","T1","T1",18,0,36,7
"LCK 2022 Spring","LoL Champions Korea",2022,"10","Hanwha Life Esports","Hanwha Life Esports",3,15,12,31
"LCK 2022 Spring","LoL Champions Korea",2022,"2","Gen.G","Gen.G",14,3,28,12
"LCK 2022 Spring","LoL Champions Korea",2022,"3","DWG KIA","Dplus KIA",11,7,27,15
"LCK 2022 Spring","LoL Champions Korea",2022,"4","DRX","DRX",11,7,22,19
"LCK 2022 Spring","LoL Champions Korea",2022,"5","Kwangdong Freecs","Kwangdong Freecs",9,10,20,22
"LCK 2022 Spring","LoL Champions Korea",2022,"6","Fredit BRION","OKSavingsBank BRION",8,10,21,23
"LCK 2022 Spring","LoL Champions Korea",2022,"7","KT Rolster","KT Rolster",7,11,19,24
"LCK 2022 Spring","LoL Champions Korea",2022,"8","Nongshim RedForce","Nongshim RedForce",5,13,16,29
"LCK 2022 Spring","LoL Champions Korea",2022,"9","Liiv SANDBOX","BNK FearX",4,14,11,30
"LCK 2022 Summer","LoL Champions Korea",2022,"1","Gen.G","Gen.G",17,1,35,5
"LCK 2022 Summer","LoL Champions Korea",2022,"10","Hanwha Life Esports","Hanwha Life Esports",2,16,12,34
"LCK 2022 Summer","LoL Champions Korea",2022,"2","T1","T1",15,3,31,13
"LCK 2022 Summer","LoL Champions Korea",2022,"3","Liiv SANDBOX","BNK FearX",13,5,27,14
"LCK 2022 Summer","LoL Champions Korea",2022,"4","DWG KIA","Dplus KIA",10,8,24,17
"LCK 2022 Summer","LoL Champions Korea",2022,"5","KT Rolster","KT Rolster",10,8,25,20
"LCK 2022 Summer","LoL Champions Korea",2022,"6","DRX","DRX",9,9,22,23
"LCK 2022 Summer","LoL Champions Korea",2022,"7","Kwangdong Freecs","Kwangdong Freecs",6,12,13,29
"LCK 2022 Summer","LoL Champions Korea",2022,"8","Nongshim RedForce","Nongshim RedForce",5,13,14,28
