"tournament","match_week","match_week_number","total_matches","team","matches_won","matches_lost","games_wons","games_lost","matches_won_cumulative","matches_lost_cumulative","games_won_cumulative","games_lost_cumulative","weekly_rank"
"LCK 2022 Spring","Tiebreakers",100,1,"Kwangdong Freecs",1,0,1,0,1,0,1,0,1
"LCK 2022 Spring","Tiebreakers",100,1,"Liiv SANDBOX",0,0,0,0,0,0,0,0,2
"LCK 2022 Spring","Tiebreakers",100,1,"Hanwha Life Esports",0,0,0,0,0,0,0,0,2
"LCK 2022 Spring","Tiebreakers",100,1,"Gen.G",0,0,0,0,0,0,0,0,2
"LCK 2022 Spring","Tiebreakers",100,1,"DWG KIA",0,0,0,0,0,0,0,0,2
"LCK 2022 Spring","Tiebreakers",100,1,"KT Rolster",0,0,0,0,0,0,0,0,2
"LCK 2022 Spring","Tiebreakers",100,1,"T1",0,0,0,0,0,0,0,0,2
"LCK 2022 Spring","Tiebreakers",100,1,"DRX",0,0,0,0,0,0,0,0,2
"LCK 2022 Spring","Tiebreakers",100,1,"Nongshim RedForce",0,0,0,0,0,0,0,0,2
"LCK 2022 Spring","Tiebreakers",100,1,"Fredit BRION",0,1,0,1,0,1,0,1,10
"LCK 2022 Spring","Week 1",1,10,"T1",2,0,4,1,2,0,4,1,1
"LCK 2022 Summer","Week 1",1,10,"Gen.G",2,0,4,0,2,0,4,0,1
"LCK 2022 Spring","Week 1",1,10,"Gen.G",2,0,4,1,2,0,4,1,1
"LCK 2022 Summer","Week 1",1,10,"DWG KIA",2,0,4,0,2,0,4,0,1
"LCK 2023 Spring","Week 1",1,10,"Dplus KIA",2,0,4,0,2,0,4,0,1
"LCK 2024 Summer","Week 1",1,10,"Gen.G",2,0,4,0,2,0,4,0,1
"LCK 2023 Summer","Week 1",1,10,"Kwangdong Freecs",2,0,4,0,2,0,4,0,1
"LCK 2024 Spring","Week 1",1,10,"Hanwha Life Esports",2,0,4,0,2,0,4,0,1
"LCK 2021 Summer","Week 1",1,10,"Afreeca Freecs",2,0,4,1,2,0,4,1,1
"LCK 2021 Summer","Week 1",1,10,"Gen.G",2,0,4,1,2,0,4,1,1
"LCK 2021 Spring","Week 1",1,10,"Gen.G",2,0,4,0,2,0,4,0,1
"LCK 2022 Summer","Week 1",1,10,"DRX",2,0,4,0,2,0,4,0,1
"LCK 2024 Spring","Week 1",1,10,"Gen.G",2,0,4,1,2,0,4,1,2
"LCK 2023 Summer","Week 1",1,10,"Dplus KIA",2,0,4,1,2,0,4,1,2
"LCK 2024 Spring","Week 1",1,10,"KT Rolster",2,0,4,1,2,0,4,1,2
"LCK 2024 Summer","Week 1",1,10,"Kwangdong Freecs",2,0,4,1,2,0,4,1,2
"LCK 2021 Spring","Week 1",1,10,"DWG KIA",2,0,4,1,2,0,4,1,2
"LCK 2023 Spring","Week 1",1,10,"T1",2,0,4,1,2,0,4,1,2
"LCK 2023 Spring","Week 1",1,10,"BRION",2,0,4,1,2,0,4,1,2
"LCK 2024 Summer","Week 1",1,10,"Dplus KIA",2,0,4,2,2,0,4,2,3
"LCK 2023 Summer","Week 1",1,10,"Gen.G",2,0,4,2,2,0,4,2,3
"LCK 2022 Spring","Week 1",1,10,"Nongshim RedForce",1,1,3,2,1,1,3,2,3
"LCK 2021 Spring","Week 1",1,10,"Afreeca Freecs",1,1,3,2,1,1,3,2,3
"LCK 2022 Spring","Week 1",1,10,"DWG KIA",1,1,3,2,1,1,3,2,3
"LCK 2021 Summer","Week 1",1,10,"Nongshim RedForce",2,0,4,2,2,0,4,2,3
"LCK 2021 Summer","Week 1",1,10,"KT Rolster",1,1,3,2,1,1,3,2,4
