"latest_tournament","team","currentname","role","nplayerinteam","player"
"LCK 2024 Summer","BNK FearX","BNK FearX","Top",1,"Clear"
"LCK 2024 Summer","BNK FearX","BNK FearX","Jungle",2,"Raptor"
"LCK 2024 Summer","BNK FearX","BNK FearX","Mid",3,"Clozer"
"LCK 2024 Summer","BNK FearX","BNK FearX","Bot",4,"Hena"
"LCK 2024 Summer","BNK FearX","BNK FearX","Support",5,"Execute"
"LCK 2024 Summer","BNK FearX","BNK FearX","Support",6,"Duro"
"LCK 2024 Summer","BNK FearX","BNK FearX","Coach",7,"Ryu"
"LCK 2024 Summer","BNK FearX","BNK FearX","Coach",8,"DooTi"
"LCK 2024 Summer","Dplus KIA","Dplus KIA","Top",1,"Kingen"
"LCK 2024 Summer","Dplus KIA","Dplus KIA","Jungle",2,"Lucid"
"LCK 2024 Summer","Dplus KIA","Dplus KIA","Mid",3,"ShowMaker"
"LCK 2024 Summer","Dplus KIA","Dplus KIA","Bot",4,"Aiming"
"LCK 2024 Summer","Dplus KIA","Dplus KIA","Support",5,"Kellin"
"LCK 2024 Summer","Dplus KIA","Dplus KIA","Support",6,"Moham"
"LCK 2024 Summer","Dplus KIA","Dplus KIA","Coach",7,"Zefa"
"LCK 2024 Summer","Dplus KIA","Dplus KIA","Coach",8,"Bubbling"
"LCK 2024 Summer","Dplus KIA","Dplus KIA","Coach",9,"Ssong"
"LCK 2024 Summer","DRX","DRX","Top",1,"Rascal"
"LCK 2024 Summer","DRX","DRX","Top",2,"Frog"
"LCK 2024 Summer","DRX","DRX","Jungle",3,"Sponge"
"LCK 2024 Summer","DRX","DRX","Mid",4,"kyeahoo"
"LCK 2024 Summer","DRX","DRX","Mid",5,"SeTab"
"LCK 2024 Summer","DRX","DRX","Bot",6,"Teddy"
"LCK 2024 Summer","DRX","DRX","Bot",7,"Paduck"
"LCK 2024 Summer","DRX","DRX","Support",8,"Pleata"
"LCK 2024 Summer","DRX","DRX","Coach",9,"Micro"
"LCK 2024 Summer","DRX","DRX","Coach",10,"Crush"
"LCK 2024 Summer","DRX","DRX","Coach",11,"Raise"
"LCK 2024 Summer","Gen.G","Gen.G","Top",1,"Kiin"
"LCK 2024 Summer","Gen.G","Gen.G","Jungle",2,"Canyon"
"LCK 2024 Summer","Gen.G","Gen.G","Mid",3,"Chovy"
"LCK 2024 Summer","Gen.G","Gen.G","Bot",4,"Peyz"
"LCK 2024 Summer","Gen.G","Gen.G","Support",5,"Lehends"
"LCK 2024 Summer","Gen.G","Gen.G","Coach",6,"KIM"
"LCK 2024 Summer","Gen.G","Gen.G","Coach",7,"Helper"
"LCK 2024 Summer","Hanwha Life Esports","Hanwha Life Esports","Top",1,"Doran"
"LCK 2024 Summer","Hanwha Life Esports","Hanwha Life Esports","Jungle",2,"Peanut"
"LCK 2024 Summer","Hanwha Life Esports","Hanwha Life Esports","Mid",3,"Zeka"
"LCK 2024 Summer","Hanwha Life Esports","Hanwha Life Esports","Bot",4,"Viper"
"LCK 2024 Summer","Hanwha Life Esports","Hanwha Life Esports","Support",5,"Delight"
"LCK 2024 Summer","Hanwha Life Esports","Hanwha Life Esports","Coach",6,"DanDy"
"LCK 2024 Summer","Hanwha Life Esports","Hanwha Life Esports","Coach",7,"Mowgli"
"LCK 2024 Summer","Hanwha Life Esports","Hanwha Life Esports","Coach",8,"Bibra"
"LCK 2024 Summer","KT Rolster","KT Rolster","Top",1,"Casting"
"LCK 2024 Summer","KT Rolster","KT Rolster","Top",2,"PerfecT"
"LCK 2024 Summer","KT Rolster","KT Rolster","Jungle",3,"Pyosik"
"LCK 2024 Summer","KT Rolster","KT Rolster","Mid",4,"Bdd"
"LCK 2024 Summer","KT Rolster","KT Rolster","Bot",5,"Deft"
"LCK 2024 Summer","KT Rolster","KT Rolster","Support",6,"BeryL"
"LCK 2024 Summer","KT Rolster","KT Rolster","Coach",7,"Hirai"
"LCK 2024 Summer","KT Rolster","KT Rolster","Coach",8,"supreme"
"LCK 2024 Summer","KT Rolster","KT Rolster","Coach",9,"Museong"
"LCK 2024 Summer","KT Rolster","KT Rolster","Coach",10,"Comet"
"LCK 2024 Summer","Kwangdong Freecs","Kwangdong Freecs","Top",1,"DuDu"
"LCK 2024 Summer","Kwangdong Freecs","Kwangdong Freecs","Jungle",2,"Cuzz"
"LCK 2024 Summer","Kwangdong Freecs","Kwangdong Freecs","Mid",3,"BuLLDoG"
"LCK 2024 Summer","Kwangdong Freecs","Kwangdong Freecs","Bot",4,"Leaper"
"LCK 2024 Summer","Kwangdong Freecs","Kwangdong Freecs","Support",5,"Andil"
"LCK 2024 Summer","Kwangdong Freecs","Kwangdong Freecs","Support",6,"Quantum"
"LCK 2024 Summer","Kwangdong Freecs","Kwangdong Freecs","Coach",7,"CvMax"
"LCK 2024 Summer","Kwangdong Freecs","Kwangdong Freecs","Coach",8,"Millimas"
"LCK 2024 Summer","Kwangdong Freecs","Kwangdong Freecs","Coach",9,"FanTaSy"
"LCK 2024 Summer","Nongshim RedForce","Nongshim RedForce","Top",1,"DnDn"
"LCK 2024 Summer","Nongshim RedForce","Nongshim RedForce","Top",2,"Mihile"
"LCK 2024 Summer","Nongshim RedForce","Nongshim RedForce","Jungle",3,"Sylvie"
"LCK 2024 Summer","Nongshim RedForce","Nongshim RedForce","Mid",4,"Fisher"
"LCK 2024 Summer","Nongshim RedForce","Nongshim RedForce","Mid",5,"Callme"
"LCK 2024 Summer","Nongshim RedForce","Nongshim RedForce","Mid",6,"Calix"
"LCK 2024 Summer","Nongshim RedForce","Nongshim RedForce","Bot",7,"Jiwoo"
"LCK 2024 Summer","Nongshim RedForce","Nongshim RedForce","Support",8,"GuGer"
"LCK 2024 Summer","Nongshim RedForce","Nongshim RedForce","Support",9,"vital"
"LCK 2024 Summer","Nongshim RedForce","Nongshim RedForce","Coach",10,"Chelly"
"LCK 2024 Summer","Nongshim RedForce","Nongshim RedForce","Coach",11,"Noblesse"
"LCK 2024 Summer","Nongshim RedForce","Nongshim RedForce","Coach",12,"Coco"
"LCK 2024 Summer","OKSavingsBank BRION","OKSavingsBank BRION","Top",1,"Morgan"
"LCK 2024 Summer","OKSavingsBank BRION","OKSavingsBank BRION","Jungle",2,"YoungJae"
"LCK 2024 Summer","OKSavingsBank BRION","OKSavingsBank BRION","Jungle",3,"DDoiV"
"LCK 2024 Summer","OKSavingsBank BRION","OKSavingsBank BRION","Mid",4,"Karis"
"LCK 2024 Summer","OKSavingsBank BRION","OKSavingsBank BRION","Mid",5,"Pullbae"
