"tournament","year","date","team","currentname","place","tournamentrankdesc","total_teams"
"LCK 2021 Spring",2021,"2021-03-28","Afreeca Freecs","Kwangdong Freecs","9",11,10
"LCK 2021 Spring",2021,"2021-03-28","DWG KIA","Dplus KIA","1",15,10
"LCK 2021 Spring",2021,"2021-03-28","KT Rolster","KT Rolster","7",12,10
"LCK 2021 Spring",2021,"2021-03-28","T1","T1","4",15,10
"LCK 2021 Spring",2021,"2021-03-28","Gen.G","Gen.G","2",15,10
"LCK 2021 Spring",2021,"2021-03-28","Liiv SANDBOX","BNK FearX","8",11,10
"LCK 2021 Spring",2021,"2021-03-28","Nongshim RedForce","Nongshim RedForce","6",10,10
"LCK 2021 Spring",2021,"2021-03-28","Fredit BRION","OKSavingsBank BRION","10",9,10
"LCK 2021 Spring",2021,"2021-03-28","DRX","DRX","5",12,10
"LCK 2021 Spring",2021,"2021-03-28","Hanwha Life Esports","Hanwha Life Esports","3",12,10
"LCK 2021 Spring Playoffs",2021,"2021-04-10","DRX","DRX","5",11,6
"LCK 2021 Spring Playoffs",2021,"2021-04-10","Gen.G","Gen.G","2",14,6
"LCK 2021 Spring Playoffs",2021,"2021-04-10","T1","T1","4",14,6
"LCK 2021 Spring Playoffs",2021,"2021-04-10","DWG KIA","Dplus KIA","1",14,6
"LCK 2021 Spring Playoffs",2021,"2021-04-10","Nongshim RedForce","Nongshim RedForce","6",9,6
"LCK 2021 Spring Playoffs",2021,"2021-04-10","Hanwha Life Esports","Hanwha Life Esports","3",11,6
"LCK 2021 Summer",2021,"2021-08-15","Afreeca Freecs","Kwangdong Freecs","6",10,10
"LCK 2021 Summer",2021,"2021-08-15","T1","T1","4",13,10
"LCK 2021 Summer",2021,"2021-08-15","DRX","DRX","10",10,10
"LCK 2021 Summer",2021,"2021-08-15","Fredit BRION","OKSavingsBank BRION","9",8,10
"LCK 2021 Summer",2021,"2021-08-15","Liiv SANDBOX","BNK FearX","5",10,10
"LCK 2021 Summer",2021,"2021-08-15","Nongshim RedForce","Nongshim RedForce","3",8,10
"LCK 2021 Summer",2021,"2021-08-15","KT Rolster","KT Rolster","7",11,10
"LCK 2021 Summer",2021,"2021-08-15","DWG KIA","Dplus KIA","1",13,10
"LCK 2021 Summer",2021,"2021-08-15","Hanwha Life Esports","Hanwha Life Esports","8",10,10
"LCK 2021 Summer",2021,"2021-08-15","Gen.G","Gen.G","2",13,10
"LCK 2021 Summer Playoffs",2021,"2021-08-28","Nongshim RedForce","Nongshim RedForce","4",7,6
"LCK 2021 Summer Playoffs",2021,"2021-08-28","Gen.G","Gen.G","3",12,6
"LCK 2021 Summer Playoffs",2021,"2021-08-28","Liiv SANDBOX","BNK FearX","5",9,6
"LCK 2021 Summer Playoffs",2021,"2021-08-28","T1","T1","2",12,6
"LCK 2021 Summer Playoffs",2021,"2021-08-28","DWG KIA","Dplus KIA","1",12,6
"LCK 2021 Summer Playoffs",2021,"2021-08-28","Afreeca Freecs","Kwangdong Freecs","6",9,6
"LCK 2022 Spring",2022,"2022-03-20","Hanwha Life Esports","Hanwha Life Esports","10",9,10
"LCK 2022 Spring",2022,"2022-03-20","Liiv SANDBOX","BNK FearX","9",8,10
"LCK 2022 Spring",2022,"2022-03-20","DWG KIA","Dplus KIA","3",11,10
"LCK 2022 Spring",2022,"2022-03-20","DRX","DRX","4",9,10
"LCK 2022 Spring",2022,"2022-03-20","Gen.G","Gen.G","2",11,10
"LCK 2022 Spring",2022,"2022-03-20","KT Rolster","KT Rolster","7",10,10
"LCK 2022 Spring",2022,"2022-03-20","Kwangdong Freecs","Kwangdong Freecs","5",8,10
"LCK 2022 Spring",2022,"2022-03-20","Nongshim RedForce","Nongshim RedForce","8",6,10
"LCK 2022 Spring",2022,"2022-03-20","Fredit BRION","OKSavingsBank BRION","6",7,10
"LCK 2022 Spring",2022,"2022-03-20","T1","T1","1",11,10
"LCK 2022 Spring Playoffs",2022,"2022-04-02","DWG KIA","Dplus KIA","3",10,6
"LCK 2022 Spring Playoffs",2022,"2022-04-02","Fredit BRION","OKSavingsBank BRION","6",6,6
"LCK 2022 Spring Playoffs",2022,"2022-04-02","Kwangdong Freecs","Kwangdong Freecs","4",7,6
"LCK 2022 Spring Playoffs",2022,"2022-04-02","DRX","DRX","5",8,6
"LCK 2022 Spring Playoffs",2022,"2022-04-02","Gen.G","Gen.G","2",10,6
"LCK 2022 Spring Playoffs",2022,"2022-04-02","T1","T1","1",10,6
"LCK 2022 Summer",2022,"2022-08-14","KT Rolster","KT Rolster","5",9,10
"LCK 2022 Summer",2022,"2022-08-14","Hanwha Life Esports","Hanwha Life Esports","10",8,10
"LCK 2022 Summer",2022,"2022-08-14","DWG KIA","Dplus KIA","4",9,10
"LCK 2022 Summer",2022,"2022-08-14","T1","T1","2",9,10
"LCK 2022 Summer",2022,"2022-08-14","Kwangdong Freecs","Kwangdong Freecs","7",6,10
"LCK 2022 Summer",2022,"2022-08-14","Liiv SANDBOX","BNK FearX","3",7,10
"LCK 2022 Summer",2022,"2022-08-14","Fredit BRION","OKSavingsBank BRION","9",5,10
"LCK 2022 Summer",2022,"2022-08-14","Nongshim RedForce","Nongshim RedForce","8",5,10
"LCK 2022 Summer",2022,"2022-08-14","Gen.G","Gen.G","1",9,10
"LCK 2022 Summer",2022,"2022-08-14","DRX","DRX","6",7,10
"LCK 2022 Summer Playoffs",2022,"2022-08-28","KT Rolster","KT Rolster","5",8,6
"LCK 2022 Summer Playoffs",2022,"2022-08-28","Gen.G","Gen.G","1",8,6
"LCK 2022 Summer Playoffs",2022,"2022-08-28","Liiv SANDBOX","BNK FearX","3",6,6
"LCK 2022 Summer Playoffs",2022,"2022-08-28","DWG KIA","Dplus KIA","4",8,6
"LCK 2022 Summer Playoffs",2022,"2022-08-28","DRX","DRX","6",6,6
"LCK 2022 Summer Playoffs",2022,"2022-08-28","T1","T1","2",8,6
"LCK 2023 Spring",2023,"2023-03-19","Dplus KIA","Dplus KIA","4",7,10
"LCK 2023 Spring",2023,"2023-03-19","Kwangdong Freecs","Kwangdong Freecs","7",5,10
"LCK 2023 Spring",2023,"2023-03-19","Liiv SANDBOX","BNK FearX","6",5,10
"LCK 2023 Spring",2023,"2023-03-19","DRX","DRX","9",5,10
"LCK 2023 Spring",2023,"2023-03-19","T1","T1","1",7,10
"LCK 2023 Spring",2023,"2023-03-19","Gen.G","Gen.G","2",7,10
"LCK 2023 Spring",2023,"2023-03-19","Hanwha Life Esports","Hanwha Life Esports","5",7,10
"LCK 2023 Spring",2023,"2023-03-19","BRION","OKSavingsBank BRION","8",4,10
"LCK 2023 Spring",2023,"2023-03-19","KT Rolster","KT Rolster","3",7,10
"LCK 2023 Spring",2023,"2023-03-19","Nongshim RedForce","Nongshim RedForce","10",4,10
"LCK 2023 Spring Playoffs",2023,"2023-04-09","Liiv SANDBOX","BNK FearX","6",4,6
"LCK 2023 Spring Playoffs",2023,"2023-04-09","T1","T1","2",6,6
"LCK 2023 Spring Playoffs",2023,"2023-04-09","Hanwha Life Esports","Hanwha Life Esports","4",6,6
"LCK 2023 Spring Playoffs",2023,"2023-04-09","Gen.G","Gen.G","1",6,6
"LCK 2023 Spring Playoffs",2023,"2023-04-09","Dplus KIA","Dplus KIA","5",6,6
"LCK 2023 Spring Playoffs",2023,"2023-04-09","KT Rolster","KT Rolster","3",6,6
"LCK 2023 Summer",2023,"2023-08-06","T1","T1","5",5,10
"LCK 2023 Summer",2023,"2023-08-06","DRX","DRX","6",4,10
"LCK 2023 Summer",2023,"2023-08-06","Hanwha Life Esports","Hanwha Life Esports","3",5,10
"LCK 2023 Summer",2023,"2023-08-06","KT Rolster","KT Rolster","1",5,10
"LCK 2023 Summer",2023,"2023-08-06","Kwangdong Freecs","Kwangdong Freecs","10",4,10
"LCK 2023 Summer",2023,"2023-08-06","Dplus KIA","Dplus KIA","4",5,10
"LCK 2023 Summer",2023,"2023-08-06","Nongshim RedForce","Nongshim RedForce","9",3,10
"LCK 2023 Summer",2023,"2023-08-06","OKSavingsBank BRION","OKSavingsBank BRION","8",3,10
"LCK 2023 Summer",2023,"2023-08-06","Liiv SANDBOX","BNK FearX","7",3,10
"LCK 2023 Summer",2023,"2023-08-06","Gen.G","Gen.G","2",5,10
"LCK 2023 Summer Playoffs",2023,"2023-08-20","Hanwha Life Esports","Hanwha Life Esports","4",4,6
"LCK 2023 Summer Playoffs",2023,"2023-08-20","Gen.G","Gen.G","1",4,6
"LCK 2023 Summer Playoffs",2023,"2023-08-20","T1","T1","2",4,6
"LCK 2023 Summer Playoffs",2023,"2023-08-20","KT Rolster","KT Rolster","3",4,6
"LCK 2023 Summer Playoffs",2023,"2023-08-20","Dplus KIA","Dplus KIA","5",4,6
"LCK 2023 Summer Playoffs",2023,"2023-08-20","DRX","DRX","6",3,6
"LCK 2024 Spring",2024,"2024-03-24","Nongshim RedForce","Nongshim RedForce","8",2,10
"LCK 2024 Spring",2024,"2024-03-24","FearX","BNK FearX","7",2,10
"LCK 2024 Spring",2024,"2024-03-24","Dplus KIA","Dplus KIA","5",3,10
"LCK 2024 Spring",2024,"2024-03-24","OKSavingsBank BRION","OKSavingsBank BRION","10",2,10
"LCK 2024 Spring",2024,"2024-03-24","KT Rolster","KT Rolster","4",3,10
"LCK 2024 Spring",2024,"2024-03-24","Gen.G","Gen.G","1",3,10
"LCK 2024 Spring",2024,"2024-03-24","DRX","DRX","9",2,10
"LCK 2024 Spring",2024,"2024-03-24","T1","T1","2",3,10
"LCK 2024 Spring",2024,"2024-03-24","Hanwha Life Esports","Hanwha Life Esports","3",3,10
"LCK 2024 Spring",2024,"2024-03-24","Kwangdong Freecs","Kwangdong Freecs","6",3,10
"LCK 2024 Spring Playoffs",2024,"2024-04-14","Gen.G","Gen.G","1",2,6
"LCK 2024 Spring Playoffs",2024,"2024-04-14","Dplus KIA","Dplus KIA","4",2,6
"LCK 2024 Spring Playoffs",2024,"2024-04-14","KT Rolster","KT Rolster","5",2,6
"LCK 2024 Spring Playoffs",2024,"2024-04-14","T1","T1","2",2,6
"LCK 2024 Spring Playoffs",2024,"2024-04-14","Hanwha Life Esports","Hanwha Life Esports","3",2,6
"LCK 2024 Spring Playoffs",2024,"2024-04-14","Kwangdong Freecs","Kwangdong Freecs","6",2,6
"LCK 2024 Summer",2024,"2024-08-18","Nongshim RedForce","Nongshim RedForce","8",1,10
"LCK 2024 Summer",2024,"2024-08-18","Hanwha Life Esports","Hanwha Life Esports","2",1,10
"LCK 2024 Summer",2024,"2024-08-18","KT Rolster","KT Rolster","5",1,10
"LCK 2024 Summer",2024,"2024-08-18","Gen.G","Gen.G","1",1,10
"LCK 2024 Summer",2024,"2024-08-18","DRX","DRX","9",1,10
"LCK 2024 Summer",2024,"2024-08-18","T1","T1","4",1,10
"LCK 2024 Summer",2024,"2024-08-18","Kwangdong Freecs","Kwangdong Freecs","7",1,10
"LCK 2024 Summer",2024,"2024-08-18","OKSavingsBank BRION","OKSavingsBank BRION","10",1,10
"LCK 2024 Summer",2024,"2024-08-18","Dplus KIA","Dplus KIA","3",1,10
"LCK 2024 Summer",2024,"2024-08-18","BNK FearX","BNK FearX","6",1,10
