OverviewPage,Date,Place,Place Number,Team,Date__precision
LCK/2016 Season/Spring Playoffs,2016-04-23,1,1,SK Telecom T1,1
LCK/2016 Season/Spring Playoffs,2016-04-23,2,2,ROX Tigers,1
LCK/2016 Season/Spring Playoffs,2016-04-23,3,3,KT Rolster,1
LCK/2016 Season/Spring Playoffs,2016-04-23,4,4,Jin Air Green Wings,1
LCK/2016 Season/Spring Playoffs,2016-04-23,5,5,Afreeca Freecs,1
LCK/2016 Season/Spring Promotion,2015-09-12,NQ,,Dark Wolves,1
LCK/2016 Season/Spring Promotion,2015-09-12,NQ,,ESC Ever,1
LCK/2016 Season/Spring Promotion,2015-09-12,Q,,Incredible Miracle,1
LCK/2016 Season/Spring Promotion,2015-09-12,Q,,SBENU Sonicboom,1
LCK/2016 Season/Spring Season,2016-04-09,1,1,ROX Tigers,1
LCK/2016 Season/Spring Season,2016-04-09,10,10,Kongdoo Monster,1
LCK/2016 Season/Spring Season,2016-04-09,2,2,KT Rolster,1
LCK/2016 Season/Spring Season,2016-04-09,3,3,SK Telecom T1,1
LCK/2016 Season/Spring Season,2016-04-09,4,4,Jin Air Green Wings,1
LCK/2016 Season/Spring Season,2016-04-09,5,5,Afreeca Freecs,1
LCK/2016 Season/Spring Season,2016-04-09,6,6,Samsung Galaxy,1
LCK/2016 Season/Spring Season,2016-04-09,7,7,Longzhu Gaming,1
LCK/2016 Season/Spring Season,2016-04-09,8,8,CJ Entus,1
LCK/2016 Season/Spring Season,2016-04-09,9,9,SBENU Sonicboom,1
LCK/2016 Season/Summer Playoffs,2016-08-20,1,1,ROX Tigers,1
LCK/2016 Season/Summer Playoffs,2016-08-20,2,2,KT Rolster,1
LCK/2016 Season/Summer Playoffs,2016-08-20,3,3,SK Telecom T1,1
LCK/2016 Season/Summer Playoffs,2016-08-20,4,4,Samsung Galaxy,1
LCK/2016 Season/Summer Playoffs,2016-08-20,5,5,Afreeca Freecs,1
