"overviewpage","tournament","tournament_group","league","region","year","matchid","datetime_utc","matchround","matchnumber","team","opposingteam","result","gameswon","gameslost"
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 1_1","2014-09-18 08:59:00","Day 1","1","EDward Gaming","Samsung White","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 1_1","2014-09-18 08:59:00","Day 1","1","Samsung White","EDward Gaming","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 1_2","2014-09-18 10:38:00","Day 1","2","TSM","SK Gaming","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 1_2","2014-09-18 10:38:00","Day 1","2","SK Gaming","TSM","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 1_3","2014-09-18 11:21:00","Day 1","3","ahq eSports Club","Dark Passage","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 1_3","2014-09-18 11:21:00","Day 1","3","Dark Passage","ahq eSports Club","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 1_4","2014-09-18 12:33:00","Day 1","4","Taipei Assassins","Star Horn Royal Club","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 1_4","2014-09-18 12:33:00","Day 1","4","Star Horn Royal Club","Taipei Assassins","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 1_5","2014-09-18 14:02:00","Day 1","5","Samsung White","ahq eSports Club","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 1_5","2014-09-18 14:02:00","Day 1","5","ahq eSports Club","Samsung White","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 1_6","2014-09-18 14:50:00","Day 1","6","TSM","Star Horn Royal Club","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 1_6","2014-09-18 14:50:00","Day 1","6","Star Horn Royal Club","TSM","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 2_1","2014-09-19 09:00:00","Day 2","1","SK Gaming","Taipei Assassins","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 2_1","2014-09-19 09:00:00","Day 2","1","Taipei Assassins","SK Gaming","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 2_2","2014-09-19 10:11:00","Day 2","2","EDward Gaming","Dark Passage","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 2_2","2014-09-19 10:11:00","Day 2","2","Dark Passage","EDward Gaming","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 2_3","2014-09-19 11:17:00","Day 2","3","Star Horn Royal Club","SK Gaming","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 2_3","2014-09-19 11:17:00","Day 2","3","SK Gaming","Star Horn Royal Club","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 2_4","2014-09-19 12:19:00","Day 2","4","Dark Passage","Samsung White","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 2_4","2014-09-19 12:19:00","Day 2","4","Samsung White","Dark Passage","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 2_5","2014-09-19 13:15:00","Day 2","5","TSM","Taipei Assassins","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 2_5","2014-09-19 13:15:00","Day 2","5","Taipei Assassins","TSM","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 2_6","2014-09-19 14:19:00","Day 2","6","EDward Gaming","ahq eSports Club","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 2_6","2014-09-19 14:19:00","Day 2","6","ahq eSports Club","EDward Gaming","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 3_1","2014-09-20 09:00:00","Day 3","1","Dark Passage","Samsung White","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 3_1","2014-09-20 09:00:00","Day 3","1","Samsung White","Dark Passage","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 3_2","2014-09-20 09:51:00","Day 3","2","Star Horn Royal Club","SK Gaming","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 3_2","2014-09-20 09:51:00","Day 3","2","SK Gaming","Star Horn Royal Club","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 3_3","2014-09-20 10:52:00","Day 3","3","Samsung White","ahq eSports Club","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 3_3","2014-09-20 10:52:00","Day 3","3","ahq eSports Club","Samsung White","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 3_4","2014-09-20 11:49:00","Day 3","4","Taipei Assassins","TSM","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 3_4","2014-09-20 11:49:00","Day 3","4","TSM","Taipei Assassins","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 3_5","2014-09-20 12:48:00","Day 3","5","EDward Gaming","Dark Passage","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 3_5","2014-09-20 12:48:00","Day 3","5","Dark Passage","EDward Gaming","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 3_6","2014-09-20 13:44:00","Day 3","6","SK Gaming","Taipei Assassins","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 3_6","2014-09-20 13:44:00","Day 3","6","Taipei Assassins","SK Gaming","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 4_1","2014-09-21 08:58:00","Day 4","1","Star Horn Royal Club","TSM","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 4_1","2014-09-21 08:58:00","Day 4","1","TSM","Star Horn Royal Club","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 4_2","2014-09-21 10:21:00","Day 4","2","Dark Passage","ahq eSports Club","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 4_2","2014-09-21 10:21:00","Day 4","2","ahq eSports Club","Dark Passage","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 4_3","2014-09-21 11:23:00","Day 4","3","Star Horn Royal Club","Taipei Assassins","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 4_3","2014-09-21 11:23:00","Day 4","3","Taipei Assassins","Star Horn Royal Club","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 4_4","2014-09-21 12:16:00","Day 4","4","ahq eSports Club","EDward Gaming","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 4_4","2014-09-21 12:16:00","Day 4","4","EDward Gaming","ahq eSports Club","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 4_5","2014-09-21 13:47:00","Day 4","5","TSM","SK Gaming","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 4_5","2014-09-21 13:47:00","Day 4","5","SK Gaming","TSM","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 4_6","2014-09-21 14:49:00","Day 4","6","EDward Gaming","Samsung White","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 4_6","2014-09-21 14:49:00","Day 4","6","Samsung White","EDward Gaming","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 4_7","2014-09-21 16:00:00","Day 4","7","EDward Gaming","ahq eSports Club","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 4_7","2014-09-21 16:00:00","Day 4","7","ahq eSports Club","EDward Gaming","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 5_1","2014-09-25 09:15:00","Day 5","1","LMQ","Oh My God","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 5_1","2014-09-25 09:15:00","Day 5","1","Oh My God","LMQ","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 5_2","2014-09-25 10:20:00","Day 5","2","NaJin White Shield","KaBuM! Esports","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 5_2","2014-09-25 10:20:00","Day 5","2","KaBuM! Esports","NaJin White Shield","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 5_3","2014-09-25 11:16:00","Day 5","3","Oh My God","Samsung Blue","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 5_3","2014-09-25 11:16:00","Day 5","3","Samsung Blue","Oh My God","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 5_4","2014-09-25 12:18:00","Day 5","4","Cloud9","Alliance","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 5_4","2014-09-25 12:18:00","Day 5","4","Alliance","Cloud9","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 5_5","2014-09-25 13:43:00","Day 5","5","LMQ","Fnatic","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 5_5","2014-09-25 13:43:00","Day 5","5","Fnatic","LMQ","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 5_6","2014-09-25 14:36:00","Day 5","6","KaBuM! Esports","Cloud9","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 5_6","2014-09-25 14:36:00","Day 5","6","Cloud9","KaBuM! Esports","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 6_1","2014-09-26 08:59:00","Day 6","1","Alliance","NaJin White Shield","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 6_1","2014-09-26 08:59:00","Day 6","1","NaJin White Shield","Alliance","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 6_2","2014-09-26 10:17:00","Day 6","2","Fnatic","Samsung Blue","Win",1,0
