OverviewPage,Team,N PlayerInTeam,Player,Role,Flag
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2014 Season World Championship,ahq eSports Club,1,Prydz,Top,Taiwan
2014 Season World Championship,ahq eSports Club,2,NAZ (Chen Tien-Chih),Jungle,Taiwan
2014 Season World Championship,ahq eSports Club,3,westdoor,Mid,Taiwan
2014 Season World Championship,ahq eSports Club,4,GarnetDevil,Bot,Taiwan
2014 Season World Championship,ahq eSports Club,5,GreenTea,Support,Taiwan
2014 Season World Championship,Alliance,1,Wickd,Top,Denmark
2014 Season World Championship,Alliance,2,Shook,Jungle,Netherlands
2014 Season World Championship,Alliance,3,Froggen,Mid,Denmark
2014 Season World Championship,Alliance,4,Tabzz,Bot,Netherlands
2014 Season World Championship,Alliance,5,Nyph,Support,Germany
2014 Season World Championship,Cloud9,1,Balls,Top,United States
2014 Season World Championship,Cloud9,2,Meteos,Jungle,United States
2014 Season World Championship,Cloud9,3,Hai,Mid,United States
2014 Season World Championship,Cloud9,4,Sneaky,Bot,United States
2014 Season World Championship,Cloud9,5,LemonNation,Support,United States
2014 Season World Championship,Dark Passage,1,fabFabulous,Top,Turkey
2014 Season World Championship,Dark Passage,2,Crystal,Jungle,Turkey
2014 Season World Championship,Dark Passage,3,Naru (Koray Bıçak),Mid,Turkey
2014 Season World Championship,Dark Passage,4,HolyPhoenix,Bot,Turkey
2014 Season World Championship,Dark Passage,5,Touch,Support,Norway
2014 Season World Championship,EDward Gaming,1,Koro1,Top,China
2014 Season World Championship,EDward Gaming,2,Clearlove,Jungle,China
2014 Season World Championship,EDward Gaming,3,U,Mid,China
2014 Season World Championship,EDward Gaming,4,NaMei,Bot,China
2014 Season World Championship,EDward Gaming,5,Fzzf,Support,China
2014 Season World Championship,Fnatic,1,sOAZ,Top,France
2014 Season World Championship,Fnatic,2,Cyanide,Jungle,Finland
2014 Season World Championship,Fnatic,3,xPeke,Mid,Spain
2014 Season World Championship,Fnatic,4,Rekkles,Bot,Sweden
2014 Season World Championship,Fnatic,5,YellOwStar,Support,France
2014 Season World Championship,KaBuM! Esports,1,LEP,Top,Brazil
2014 Season World Championship,KaBuM! Esports,2,Danagorn,Jungle,Brazil
2014 Season World Championship,KaBuM! Esports,3,TinOwns,Mid,Brazil
2014 Season World Championship,KaBuM! Esports,4,Minerva,Bot,Brazil
2014 Season World Championship,KaBuM! Esports,5,dans,Support,Brazil
2014 Season World Championship,LMQ,1,ackerman (Xiao Wang),Top,China
2014 Season World Championship,LMQ,2,NoName (Zhou Qi-Lin),Jungle,China
2014 Season World Championship,LMQ,3,XiaoWeiXiao,Mid,China
2014 Season World Championship,LMQ,4,Vasilii,Bot,China
2014 Season World Championship,LMQ,5,Mor,Support,China
2014 Season World Championship,NaJin White Shield,1,Save,Top,South Korea
2014 Season World Championship,NaJin White Shield,2,Watch,Jungle,South Korea
2014 Season World Championship,NaJin White Shield,3,Ggoong,Mid,South Korea
2014 Season World Championship,NaJin White Shield,4,Zefa,Bot,South Korea
2014 Season World Championship,NaJin White Shield,5,GorillA,Support,South Korea
