OverviewPage,Date,Place,Place Number,Team,Prize,Prize USD,Date__precision
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2014 Season World Championship,2014-10-19,1,1,Samsung White,1000000,1000000,1
2014 Season World Championship,2014-10-19,12-13,12,Fnatic,35000,35000,1
2014 Season World Championship,2014-10-19,12-13,12,LMQ,35000,35000,1
2014 Season World Championship,2014-10-19,14-16,14,Dark Passage,25000,25000,1
2014 Season World Championship,2014-10-19,14-16,14,KaBuM! Esports,25000,25000,1
2014 Season World Championship,2014-10-19,14-16,14,Taipei Assassins,25000,25000,1
2014 Season World Championship,2014-10-19,2,2,Star Horn Royal Club,250000,250000,1
2014 Season World Championship,2014-10-19,3-4,3,Oh My God,150000,150000,1
2014 Season World Championship,2014-10-19,3-4,3,Samsung Blue,150000,150000,1
2014 Season World Championship,2014-10-19,5-8,5,Cloud9,75000,75000,1
2014 Season World Championship,2014-10-19,5-8,5,EDward Gaming,75000,75000,1
2014 Season World Championship,2014-10-19,5-8,5,NaJin White Shield,75000,75000,1
2014 Season World Championship,2014-10-19,5-8,5,TSM,75000,75000,1
2014 Season World Championship,2014-10-19,9-11,9,ahq eSports Club,45000,45000,1
2014 Season World Championship,2014-10-19,9-11,9,Alliance,45000,45000,1
2014 Season World Championship,2014-10-19,9-11,9,SK Gaming,45000,45000,1
2015 Season World Championship,2015-10-31,1,1,SK Telecom T1,1000000,1000000,1
2015 Season World Championship,2015-10-31,12-13,12,Counter Logic Gaming,35000,35000,1
2015 Season World Championship,2015-10-31,12-13,12,paiN Gaming,35000,35000,1
2015 Season World Championship,2015-10-31,14-16,14,Bangkok Titans,25000,25000,1
2015 Season World Championship,2015-10-31,14-16,14,Invictus Gaming,25000,25000,1
2015 Season World Championship,2015-10-31,14-16,14,TSM,25000,25000,1
2015 Season World Championship,2015-10-31,2,2,KOO Tigers,250000,250000,1
2015 Season World Championship,2015-10-31,3-4,3,Fnatic,150000,150000,1
2015 Season World Championship,2015-10-31,3-4,3,Origen,150000,150000,1
2015 Season World Championship,2015-10-31,5-8,5,ahq eSports Club,75000,75000,1
2015 Season World Championship,2015-10-31,5-8,5,EDward Gaming,75000,75000,1
2015 Season World Championship,2015-10-31,5-8,5,Flash Wolves,75000,75000,1
2015 Season World Championship,2015-10-31,5-8,5,KT Rolster,75000,75000,1
2015 Season World Championship,2015-10-31,9-11,9,Cloud9,45000,45000,1
2015 Season World Championship,2015-10-31,9-11,9,H2k-Gaming,45000,45000,1
2015 Season World Championship,2015-10-31,9-11,9,LGD Gaming,45000,45000,1
2016 Season World Championship,2016-10-29,1,1,SK Telecom T1,2028000,2028000,1
2016 Season World Championship,2016-10-29,13-16,13,Flash Wolves,63375,63375,1
2016 Season World Championship,2016-10-29,13-16,13,G2 Esports,63375,63375,1
2016 Season World Championship,2016-10-29,13-16,13,INTZ,63375,63375,1
