"tournament","tournament_group","overviewpage","team","nplayerinteam","player","role","flag"
"Worlds 2014","Worlds 2014","2014 Season World Championship","ahq eSports Club",1,"Prydz","Top","Taiwan"
"Worlds 2014","Worlds 2014","2014 Season World Championship","ahq eSports Club",2,"NAZ (Chen Tien-Chih)","Jungle","Taiwan"
"Worlds 2014","Worlds 2014","2014 Season World Championship","ahq eSports Club",3,"westdoor","Mid","Taiwan"
"Worlds 2014","Worlds 2014","2014 Season World Championship","ahq eSports Club",4,"GarnetDevil","Bot","Taiwan"
"Worlds 2014","Worlds 2014","2014 Season World Championship","ahq eSports Club",5,"GreenTea","Support","Taiwan"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Alliance",1,"Wickd","Top","Denmark"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Alliance",2,"Shook","Jungle","Netherlands"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Alliance",3,"Froggen","Mid","Denmark"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Alliance",4,"Tabzz","Bot","Netherlands"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Alliance",5,"Nyph","Support","Germany"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Cloud9",1,"Balls","Top","United States"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Cloud9",2,"Meteos","Jungle","United States"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Cloud9",3,"Hai","Mid","United States"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Cloud9",4,"Sneaky","Bot","United States"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Cloud9",5,"LemonNation","Support","United States"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Dark Passage",1,"fabFabulous","Top","Turkey"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Dark Passage",2,"Crystal","Jungle","Turkey"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Dark Passage",3,"Naru (Koray Bıçak)","Mid","Turkey"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Dark Passage",4,"HolyPhoenix","Bot","Turkey"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Dark Passage",5,"Touch","Support","Norway"
"Worlds 2014","Worlds 2014","2014 Season World Championship","EDward Gaming",1,"Koro1","Top","China"
"Worlds 2014","Worlds 2014","2014 Season World Championship","EDward Gaming",2,"Clearlove","Jungle","China"
"Worlds 2014","Worlds 2014","2014 Season World Championship","EDward Gaming",3,"U","Mid","China"
"Worlds 2014","Worlds 2014","2014 Season World Championship","EDward Gaming",4,"NaMei","Bot","China"
"Worlds 2014","Worlds 2014","2014 Season World Championship","EDward Gaming",5,"Fzzf","Support","China"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Fnatic",1,"sOAZ","Top","France"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Fnatic",2,"Cyanide","Jungle","Finland"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Fnatic",3,"xPeke","Mid","Spain"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Fnatic",4,"Rekkles","Bot","Sweden"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Fnatic",5,"YellOwStar","Support","France"
"Worlds 2014","Worlds 2014","2014 Season World Championship","KaBuM! Esports",1,"LEP","Top","Brazil"
