OverviewPage,Team1,Team2,WinTeam,LossTeam,DateTime UTC,GameId,MatchId,N GameInMatch,Gamename,Team1Score,Team2Score,Winner,Gamelength,Gamelength Number,Team1Bans,Team2Bans,Team1Picks,Team2Picks,Team1Clouds,Team1Infernals,Team1Mountains,Team1Oceans,Team1Hextechs,Team1Chemtechs,Team1Elders,Team2Clouds,Team2Infernals,Team2Mountains,Team2Oceans,Team2Hextechs,Team2Chemtechs,Team2Elders,DateTime UTC__precision
2014 Season World Championship,ahq eSports Club,Dark Passage,ahq eSports Club,Dark Passage,2014-09-21 10:21:00,2014 Season World Championship_Day 4_2_1,2014 Season World Championship_Day 4_2,1,Game 1,1,0,1,34:41,34.683333333333,"Alistar,Zilean,Ryze","Thresh,Fizz,Zed","Irelia,Lee Sin,Twisted Fate,Graves,Leona","Nidalee,Vi,Ahri,Lucian,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,ahq eSports Club,EDward Gaming,ahq eSports Club,EDward Gaming,2014-09-21 12:16:00,2014 Season World Championship_Day 4_4_1,2014 Season World Championship_Day 4_4,1,Game 1,1,0,1,46:09,46.15,"Alistar,Zilean,Ryze","Fizz,Twisted Fate,Maokai","Kayle,Lee Sin,Zed,Jinx,Thresh","Lulu,Kha'Zix,Jayce,Lucian,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,ahq eSports Club,Samsung White,Samsung White,ahq eSports Club,2014-09-20 10:52:00,2014 Season World Championship_Day 3_3_1,2014 Season World Championship_Day 3_3,1,Game 1,0,1,2,29:19,29.316666666667,"Zilean,Alistar,Yasuo","Zed,Nidalee,Maokai","Ryze,Lee Sin,Twisted Fate,Jinx,Blitzcrank","Kayle,Kha'Zix,Katarina,Lucian,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,Alliance,Cloud9,Alliance,Cloud9,2014-09-27 07:38:00,2014 Season World Championship_Day 7_2_1,2014 Season World Championship_Day 7_2,1,Game 1,1,0,1,35:53,35.883333333333,"Rumble,Syndra,Maokai","Lee Sin,Tristana,Kha'Zix","Irelia,Rammus,Ahri,Kog'Maw,Alistar","Ryze,Jarvan IV,Zilean,Lucian,Morgana",,,,,,,,,,,,,,,0
2014 Season World Championship,Alliance,KaBuM! Esports,Alliance,KaBuM! Esports,2014-09-26 13:45:00,2014 Season World Championship_Day 6_5_1,2014 Season World Championship_Day 6_5,1,Game 1,1,0,1,36:38,36.633333333333,"Syndra,Jinx,Maokai","Alistar,Ryze,Zilean","Irelia,Lee Sin,Fizz,Tristana,Janna","Rumble,Kha'Zix,Orianna,Lucian,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,Alliance,NaJin White Shield,Alliance,NaJin White Shield,2014-09-27 12:11:00,2014 Season World Championship_Day 7_6_1,2014 Season World Championship_Day 7_6,1,Game 1,1,0,1,39:33,39.55,"Nidalee,Thresh,Zed","Rammus,Alistar,Maokai","Irelia,Lee Sin,Ahri,Kog'Maw,Zilean","Ryze,Kha'Zix,Orianna,Tristana,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,Cloud9,Alliance,Cloud9,Alliance,2014-09-25 12:18:00,2014 Season World Championship_Day 5_4_1,2014 Season World Championship_Day 5_4,1,Game 1,1,0,1,37:29,37.483333333333,"Ryze,Lee Sin,Maokai","Tristana,Alistar,Zilean","Rumble,Kha'Zix,Syndra,Lucian,Janna","Kayle,Elise,Xerath,Kog'Maw,Nami",,,,,,,,,,,,,,,0
2014 Season World Championship,Cloud9,KaBuM! Esports,Cloud9,KaBuM! Esports,2014-09-25 14:36:00,2014 Season World Championship_Day 5_6_1,2014 Season World Championship_Day 5_6,1,Game 1,1,0,1,32:43,32.716666666667,"Kayle,Maokai,Kha'Zix","Alistar,Zilean,Zed","Ryze,Lee Sin,Yasuo,Tristana,Janna","Lulu,Jarvan IV,Syndra,Lucian,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,Cloud9,NaJin White Shield,Cloud9,NaJin White Shield,2014-09-28 10:30:00,2014 Season World Championship_Day 8_5_1,2014 Season World Championship_Day 8_5,1,Game 1,1,0,1,51:57,51.95,"Thresh,Lee Sin,Ryze","Maokai,Zilean,Alistar","Rumble,Kha'Zix,Zed,Corki,Janna","Kayle,Elise,Ahri,Twitch,Nami",,,,,,,,,,,,,,,0
2014 Season World Championship,Cloud9,Samsung Blue,Samsung Blue,Cloud9,2014-10-04 06:03:00,2014 Season World Championship_Quarterfinals_2_2,2014 Season World Championship_Quarterfinals_2,2,Game 2,1,1,2,39:16,39.266666666667,"Yasuo,Lee Sin,Ryze","Zilean,Alistar,Lucian","Maokai,Elise,Zed,Corki,Morgana","Rumble,Kha'Zix,Twisted Fate,Twitch,Thresh",,,,,,,,,,,,,,,0
