month,album_rank,rank_change,rank_difference,title,artist,new_sales,cumulative_sales,production
1,1,new,,THE FIRST STEP : TREASURE EFFECT,TREASURE (트레저),"266,894","266,894",YG PLUS
1,2,down,-1,NCT RESONANCE Pt. 2 - The 2nd Album,NCT,"244,629","244,629",Dreamus
1,3,new,,I burn,(여자)아이들,"159,268","159,268",Kakao Entertainment
1,4,new,,NOIR - The 2nd Mini Album,유노윤호 (U-KNOW),"138,236","138,236",Dreamus
1,5,new,,HIDEOUT: BE OUR VOICE - SEASON 3.,CRAVITY,"112,301","112,301",Kakao Entertainment
1,6,new,,DEVIL,원어스(ONEUS),"98,014","98,014",Kakao Entertainment
1,7,new,,Dystopia : Road to Utopia,드림캐쳐,"91,469","91,469",지니뮤직
1,8,new,,VOICE : The future is now,VICTON (빅톤),"89,960","89,960",Kakao Entertainment
1,9,new,,5th Mini Album [YES.],골든차일드,"74,863","74,863",Kakao Entertainment
1,10,up,16,THE ALBUM,BLACKPINK,"67,387","67,387",YG PLUS
1,11,new,,SALUTE : A NEW HOPE,AB6IX (에이비식스),"57,982","57,982",Warner Music
1,12,down,-6,NCT RESONANCE Pt. 2 - The 2nd Album (Kit),NCT,"54,674","54,674",Dreamus
1,13,new,,Super One,SuperM,"53,618","53,618",Dreamus
1,14,new,,LUCKY MAN,바비 (BOBBY),"49,221","49,221",YG PLUS
1,15,new,,THE FIRST STEP : TREASURE EFFECT (Kit),TREASURE (트레저),"27,361","27,361",YG PLUS
1,16,new,,MCND AGE,MCND,"25,560","25,560",Kakao Entertainment
1,17,down,-5,BE,방탄소년단,"25,452","25,452",Dreamus
1,18,down,-2,MAP OF THE SOUL : 7,방탄소년단,"24,801","24,801",Dreamus
1,19,down,-1,MAP OF THE SOUL : PERSONA,방탄소년단,"24,693","24,693",Dreamus
1,20,down,-11,BORDER : DAY ONE,ENHYPEN,"24,576","24,576","지니뮤직, Stone Music Entertainment"
1,21,up,2,LOVE YOURSELF 轉 `Tear`,방탄소년단,"21,542","21,542",Dreamus
1,22,up,2,LOVE YOURSELF 承 `Her`,방탄소년단,"18,736","18,736",Dreamus
1,23,down,-20,The Classic Album I - My Favorite Arias,김호중,"17,950","17,950",Warner Music
1,24,down,-20,The Classic Album II - My Favorite Songs,김호중,"17,802","17,802",Warner Music
1,25,new,,3RD ALBUM `An Ode`,세븐틴,"17,420","17,420","지니뮤직, Stone Music Entertainment"
1,26,down,-21,KAI - The 1st Mini Album,카이 (KAI),"15,317","15,317",Dreamus
1,27,up,55,Special Album '; [Semicolon]',세븐틴,"14,229","14,229",Dreamus
1,28,-,,화양연화 Young Forever,방탄소년단,"14,214","14,214",Dreamus
1,29,new,,24 PART 2,정세운,"14,192","14,192",Kakao Entertainment
1,30,up,5,WINGS,방탄소년단,"13,720","13,720",Dreamus
1,31,up,1,YOU NEVER WALK ALONE,방탄소년단,"13,408","13,408",Dreamus
1,32,new,,BEFORE SUNRISE Part. 1,T1419,"13,382","13,382",Sony Music
1,33,new,,Epik High Is Here 上,에픽하이 (Epik High),"13,135","13,135",Kakao Entertainment
1,34,new,,tellusboutyourself,백예린,"12,518","12,518",Dreamus
1,35,up,2,IN生,Stray Kids (스트레이 키즈),"11,951","11,951",Dreamus
1,36,down,-17,LOVE YOURSELF 結 `Answer`,방탄소년단,"10,614","10,614","Dreamus, The Orchard"
1,37,down,-1,화양연화 pt.2,방탄소년단,"9,944","9,944",Dreamus
1,38,down,-24,GO生,Stray Kids (스트레이 키즈),"9,932","9,932",Dreamus
1,39,up,82,SuperM - The 1st Mini Album,SuperM,"9,723","9,723",Dreamus
1,40,down,-23,minisode1 : Blue Hour,투모로우바이투게더,"9,656","9,656",Dreamus
1,41,up,2,2 Cool 4 Skool,방탄소년단,"9,013","9,013",Dreamus
1,42,up,3,화양연화 pt.1,방탄소년단,"8,099","8,099",Dreamus
1,43,up,9,꿈의 장: MAGIC,투모로우바이투게더,"7,767","7,767",Dreamus
1,44,new,,Cherry Rush,체리블렛(Cherry Bullet),"7,748","7,748",Kakao Entertainment
1,45,down,-38,What Do I Call You - The 4th Mini Album,태연 (TAEYEON),"7,647","7,647",Dreamus
1,46,down,-2,Dark & Wild,방탄소년단,"7,425","7,425",Dreamus
1,47,up,2,Eyes wide open,TWICE,"7,399","7,399",Dreamus
1,48,up,24,Cle : LEVANTER,Stray Kids (스트레이 키즈),"7,366","7,366",Dreamus
1,49,up,13,I am YOU,Stray Kids (스트레이 키즈),"7,110","7,110",Dreamus
1,50,up,13,I am WHO,Stray Kids (스트레이 키즈),"6,925","6,925",Dreamus
1,51,down,-41,Breath of Love : Last Piece,GOT7,"6,780","6,780",Dreamus
1,52,up,14,Cle 1 : MIROH,Stray Kids (스트레이 키즈),"6,775","6,775",Dreamus
1,53,down,-6,KILL THIS LOVE,BLACKPINK,"6,746","6,746",YG PLUS
1,54,up,13,I am NOT,Stray Kids (스트레이 키즈),"6,710","6,710",Dreamus
1,55,down,-21,Never Gonna Dance Again : Act 2 - The 3rd Album,태민 (TAEMIN),"6,599","6,599",Dreamus
1,56,up,8,꿈의 장: STAR,투모로우바이투게더,"6,436","6,436",Dreamus
1,57,down,-11,"O! RUL8 ,2?",방탄소년단,"6,431","6,431",Dreamus
1,58,up,3,꿈의 장: ETERNITY,투모로우바이투게더,"6,362","6,362",Dreamus
1,59,up,70,REVEAL,더보이즈(THE BOYZ),"6,041","6,041",Kakao Entertainment
1,60,up,25,NCT #127 WE ARE SUPERHUMAN - The 4th Mini Album,NCT 127,"5,924","5,924",Dreamus
1,61,down,-59,One-reeler / Act IV,IZ*ONE (아이즈원),"5,895","5,895","지니뮤직, Stone Music Entertainment"
1,62,down,-7,SQUARE UP,BLACKPINK,"5,816","5,816",YG PLUS
1,63,down,-23,MEMORY : illusion,원위 (ONEWE),"5,759","5,759",Kakao Entertainment
1,64,down,-25,Skool Luv Affair,방탄소년단,"5,545","5,545",Dreamus
1,65,up,23,7th Mini Album `헹가래`,세븐틴,"5,072","5,072","지니뮤직, Stone Music Entertainment"
1,66,new,,I`m Not Cool,현아,"5,000","5,000",Kakao Entertainment
1,67,new,,LUCKY MAN (Kit),바비 (BOBBY),"5,000","5,000",YG PLUS
1,68,down,-26,Origine,비원에이포 (B1A4),"4,995","4,995",Sony Music
1,69,down,-15,NCT RESONANCE Pt. 1 - The 2nd Album (Kit),NCT,"4,971","4,971",Dreamus
1,70,up,64,4th MINI ALBUM [DreamLike],더보이즈(THE BOYZ),"4,896","4,896",Kakao Entertainment
1,71,up,5,Cle 2 : Yellow Wood,Stray Kids (스트레이 키즈),"4,887","4,887",Dreamus
1,72,new,,`The ReVe Festival` Finale,레드벨벳(Red Velvet),"4,700","4,700",Dreamus
1,73,up,16,NCT #127 Regular-Irregular - The 1st Album,NCT 127,"4,636","4,636",Dreamus
1,74,new,,And Then There Was Us,호피폴라,"4,559","4,559",Dreamus
1,75,up,3,Mixtape,Stray Kids (스트레이 키즈),"4,292","4,292",Dreamus
1,76,HOT,,7 for 7,GOT7,"3,787","3,787",Dreamus
1,77,up,73,Call My Name,GOT7,"3,704","3,704",Dreamus
1,78,down,-1,SPECIAL ALBUM `DIRECTOR`S CUT`,세븐틴,"3,669","3,669",Kakao Entertainment
1,79,down,-68,3rd Mini Album `INSIDE ME`,김성규,"3,465","3,465",Kakao Entertainment
1,80,new,,월령 月齡,심규선 (Lucia),"3,431","3,431",Kakao Entertainment
1,81,HOT,,The Wanderer (방랑자) (Deluxe),조성진,"3,356","3,356",Universal Music
1,82,new,,[#],이달의 소녀,"3,314","3,314",다날엔터테인먼트
1,83,up,3,SOLO,제니 (JENNIE),"3,263","3,263",YG PLUS
1,84,up,6,TREASURE EPILOGUE : Action To Answer,ATEEZ (에이티즈),"3,246","3,246","지니뮤직, Stone Music Entertainment"
1,85,new,,THE BOYZ DEBUT ALBUM [THE FIRST],더보이즈(THE BOYZ),"3,217","3,217",Kakao Entertainment
1,86,down,-35,Reload,NCT DREAM,"3,166","3,166",Dreamus
1,87,up,77,`Present : YOU` &ME Edition,GOT7,"3,165","3,165",Dreamus
1,88,up,40,1st Single Album [THE SPHERE],더보이즈(THE BOYZ),"3,148","3,148",Kakao Entertainment
1,89,new,,THE BOYZ MINI ALBUM [THE START],더보이즈(THE BOYZ),"3,104","3,104",Kakao Entertainment
1,90,down,-65,JOURNEY,헨리 (Henry),"3,091","3,091",Kakao Entertainment
1,91,down,-10,Love poem,아이유 (IU),"2,747","2,747",Kakao Entertainment
1,92,up,20,TWICEcoaster : LANE 1,TWICE,"2,586","2,586",Dreamus
1,93,up,22,MORE & MORE,TWICE,"2,571","2,571",Dreamus
1,94,down,-25,PAGE TWO,TWICE,"2,554","2,554",Dreamus
1,95,up,19,THE STORY BEGINS,TWICE,"2,354","2,354",Dreamus
1,96,up,23,5th MINI ALBUM [CHASE],더보이즈(THE BOYZ),"2,342","2,342",Kakao Entertainment
1,97,up,25,SIGNAL,TWICE,"2,308","2,308",Dreamus
1,98,up,28,Present : YOU,GOT7,"2,289","2,289",Dreamus
1,99,down,-5,3rd MINI ALBUM [THE ONLY],더보이즈(THE BOYZ),"2,284","2,284",Kakao Entertainment
1,100,down,-27,回:Walpurgis Night,여자친구 (GFRIEND),"2,238","2,238",Kakao Entertainment
2,1,up,16,BE,방탄소년단,"763,083","788,535",Dreamus
2,2,new,,Don`t Call Me - The 7th Album,샤이니 (SHINee),"195,665","195,665",Dreamus
2,3,new,,NCT 2018 EMPATHY,NCT,"119,998","119,997",Dreamus
2,4,new,,2ND DESIRE [TASTY],김우석,"83,763","83,763",Kakao Entertainment
2,5,new,,1ST MINI ALBUM PART. 2 [Love Synonym #2 : Right for Us],원호 (WONHO),"79,479","79,479",Kakao Entertainment
2,6,down,-4,NCT RESONANCE Pt. 2 - The 2nd Album,NCT,"66,118","310,747",Dreamus
2,7,new,,We Boom - The 3rd Mini Album,NCT DREAM,"60,000","60,000",Dreamus
2,8,new,,ONF: MY NAME,온앤오프 (ONF),"58,359","58,359","지니뮤직, Stone Music Entertainment"
2,9,new,,IDENTITY : Challenge,위아이 (WEi),"53,913","53,913",Kakao Entertainment
2,10,down,-6,NOIR - The 2nd Mini Album,유노윤호 (U-KNOW),"52,116","190,352",Dreamus
2,11,new,,"4th EP Album `HELLO` Chapter Ø. Hello, Strange Dream",CIX (씨아이엑스),"50,182","50,182",인터파크
2,12,new,,The First - The 1st Single Album,NCT DREAM,"50,000","50,000",Dreamus
2,13,up,23,LOVE YOURSELF 結 `Answer`,방탄소년단,"44,275","54,889","Dreamus, The Orchard"
2,14,down,-11,I burn,(여자)아이들,"43,305","202,573",Kakao Entertainment
2,15,new,,We Go Up - The 2nd Mini Album,NCT DREAM,"40,000","39,999",Dreamus
2,16,new,,ON THE TRACK,이승협 (J.DON),"37,914","37,914",Kakao Entertainment
2,17,new,,We Young - The 1st Mini Album,NCT DREAM,"35,000","35,000",Dreamus
2,18,new,,Querencia,청하,"29,082","29,082","지니뮤직, Stone Music Entertainment"
2,19,down,-12,Dystopia : Road to Utopia,드림캐쳐,"28,781","120,250",지니뮤직
2,20,new,,Dynamite (LP),방탄소년단,"28,000","28,000",Dreamus
2,21,new,,Take Over The Moon - Sequel,WayV,"24,999","24,996",Dreamus
2,22,up,50,`The ReVe Festival` Finale,레드벨벳(Red Velvet),"24,968","29,668",Dreamus
2,23,new,,NCT #127 CHERRY BOMB - The 3rd Mini Album,NCT 127,"24,602","24,602",Dreamus
2,24,down,-2,LOVE YOURSELF 承 `Her`,방탄소년단,"22,703","41,439",Dreamus
2,25,down,-7,MAP OF THE SOUL : 7,방탄소년단,"21,145","45,946",Dreamus
2,26,down,-7,MAP OF THE SOUL : PERSONA,방탄소년단,"20,064","44,757",Dreamus
2,27,new,,여신강림 OST,Various Artists,"20,000","20,000","지니뮤직, Stone Music Entertainment"
2,28,down,-7,LOVE YOURSELF 轉 `Tear`,방탄소년단,"19,326","40,868",Dreamus
2,29,new,,기억과 기억 사이,엘(L),"18,844","18,844",Universal Music
2,30,down,-25,HIDEOUT: BE OUR VOICE - SEASON 3.,CRAVITY,"17,970","130,271",Kakao Entertainment
2,31,down,-23,VOICE : The future is now,VICTON (빅톤),"17,814","107,774",Kakao Entertainment
2,32,new,,What Do I Call You - The 4th Mini Album (LP),태연 (TAEYEON),"17,730","17,730",Dreamus
2,33,down,-5,화양연화 Young Forever,방탄소년단,"15,591","29,805",Dreamus
2,34,down,-9,3RD ALBUM `An Ode`,세븐틴,"15,177","32,597","지니뮤직, Stone Music Entertainment"
2,35,new,,NCT #127 Limitless - The 2nd Mini Album,NCT 127,"14,990","14,984",Dreamus
2,36,down,-25,SALUTE : A NEW HOPE,AB6IX (에이비식스),"13,745","71,727",Warner Music
2,37,down,-6,YOU NEVER WALK ALONE,방탄소년단,"13,335","26,743",Dreamus
2,38,down,-8,WINGS,방탄소년단,"13,029","26,749",Dreamus
2,39,down,-2,화양연화 pt.2,방탄소년단,"12,324","22,268",Dreamus
2,40,down,-30,THE ALBUM,BLACKPINK,"11,866","79,253",YG PLUS
2,41,up,12,KILL THIS LOVE,BLACKPINK,"11,767","18,513",YG PLUS
2,42,down,-33,5th Mini Album [YES.],골든차일드,"11,713","86,576",Kakao Entertainment
2,43,new,,Feel Special,TWICE,"10,486","10,437",Dreamus
2,44,up,42,Reload,NCT DREAM,"10,366","13,532",Dreamus
2,45,down,-5,minisode1 : Blue Hour,투모로우바이투게더,"10,322","19,978",Dreamus
2,46,HOT,,NCT #127 Neo Zone - The 2nd Album,NCT 127,"10,026","10,120","Dreamus, Caroline"
2,47,new,,NCT #127 Neo Zone The Final Round - The 2nd Album Repackage,NCT 127,"9,987","9,964",Dreamus
2,48,new,,NCT RESONANCE Pt. 1 - The 2nd Album,NCT,"9,826","9,716",Dreamus
2,49,up,17,I`m Not Cool,현아,"9,669","14,669",Kakao Entertainment
2,50,down,-7,꿈의 장: MAGIC,투모로우바이투게더,"9,618","17,385",Dreamus
2,51,new,,Summer Nights,TWICE,"9,569","9,543",Dreamus
2,52,new,,What is Love?,TWICE,"9,228","9,215",Dreamus
