month,month_name,album_rank,rank_change,rank_difference,title,artist,new_sales,cumulative_sales,production
1,January,1,new,,THE FIRST STEP : TREASURE EFFECT,TREASURE ,266894,266894,YG PLUS
1,January,2,down,-1,NCT RESONANCE Pt. 2 - The 2nd Album,NCT,244629,244629,Dreamus
1,January,3,new,,I burn,(G)I-DLE,159268,159268,Kakao Entertainment
1,January,4,new,,NOIR - The 2nd Mini Album,U-KNOW,138236,138236,Dreamus
1,January,5,new,,HIDEOUT: BE OUR VOICE - SEASON 3.,CRAVITY,112301,112301,Kakao Entertainment
1,January,6,new,,DEVIL,ONEUS,98014,98014,Kakao Entertainment
1,January,7,new,,Dystopia : Road to Utopia,Dreamcatcher,91469,91469,Genie Music
1,January,8,new,,VOICE : The future is now,VICTON ,89960,89960,Kakao Entertainment
1,January,9,new,,5th Mini Album [YES.],Golden Child,74863,74863,Kakao Entertainment
1,January,10,up,16,THE ALBUM,BLACKPINK,67387,67387,YG PLUS
1,January,11,new,,SALUTE : A NEW HOPE,AB6IX ,57982,57982,Warner Music
1,January,12,down,-6,NCT RESONANCE Pt. 2 - The 2nd Album (Kit),NCT,54674,54674,Dreamus
1,January,13,new,,Super One,SuperM,53618,53618,Dreamus
1,January,14,new,,LUCKY MAN,BOBBY,49221,49221,YG PLUS
1,January,15,new,,THE FIRST STEP : TREASURE EFFECT (Kit),TREASURE ,27361,27361,YG PLUS
1,January,16,new,,MCND AGE,MCND,25560,25560,Kakao Entertainment
1,January,17,down,-5,BE,BTS,25452,25452,Dreamus
1,January,18,down,-2,MAP OF THE SOUL : 7,BTS,24801,24801,Dreamus
1,January,19,down,-1,MAP OF THE SOUL : PERSONA,BTS,24693,24693,Dreamus
1,January,20,down,-11,BORDER : DAY ONE,ENHYPEN,24576,24576,"Genie Music, Stone Music Entertainment"
1,January,21,up,2,LOVE YOURSELF 轉 `Tear`,BTS,21542,21542,Dreamus
1,January,22,up,2,LOVE YOURSELF 承 `Her`,BTS,18736,18736,Dreamus
1,January,23,down,-20,The Classic Album I - My Favorite Arias,KIM HO JOONG (김호중),17950,17950,Warner Music
1,January,24,down,-20,The Classic Album II - My Favorite Songs,KIM HO JOONG (김호중),17802,17802,Warner Music
1,January,25,new,,3RD ALBUM `An Ode`,SEVENTEEN,17420,17420,"Genie Music, Stone Music Entertainment"
1,January,26,down,-21,KAI - The 1st Mini Album,KAI,15317,15317,Dreamus
1,January,27,up,55,Special Album '; [Semicolon]',SEVENTEEN,14229,14229,Dreamus
1,January,28,-,0,화양연화 Young Forever,BTS,14214,14214,Dreamus
1,January,29,new,,24 PART 2,JEONG SEWOON (정세운),14192,14192,Kakao Entertainment
1,January,30,up,5,WINGS,BTS,13720,13720,Dreamus
1,January,31,up,1,YOU NEVER WALK ALONE,BTS,13408,13408,Dreamus
1,January,32,new,,BEFORE SUNRISE Part. 1,T1419,13382,13382,Sony Music
1,January,33,new,,Epik High Is Here 上,Epik High,13135,13135,Kakao Entertainment
1,January,34,new,,tellusboutyourself,Yerin Baek (백예린),12518,12518,Dreamus
1,January,35,up,2,IN生,Stray Kids ,11951,11951,Dreamus
1,January,36,down,-17,LOVE YOURSELF 結 `Answer`,BTS,10614,10614,"Dreamus, The Orchard"
1,January,37,down,-1,화양연화 pt.2,BTS,9944,9944,Dreamus
1,January,38,down,-24,GO生,Stray Kids ,9932,9932,Dreamus
1,January,39,up,82,SuperM - The 1st Mini Album,SuperM,9723,9723,Dreamus
1,January,40,down,-23,minisode1 : Blue Hour,TXT,9656,9656,Dreamus
1,January,41,up,2,2 Cool 4 Skool,BTS,9013,9013,Dreamus
1,January,42,up,3,화양연화 pt.1,BTS,8099,8099,Dreamus
1,January,43,up,9,꿈의 장: MAGIC,TXT,7767,7767,Dreamus
1,January,44,new,,Cherry Rush,Cherry Bullet,7748,7748,Kakao Entertainment
1,January,45,down,-38,What Do I Call You - The 4th Mini Album,TAEYEON,7647,7647,Dreamus
1,January,46,down,-2,Dark & Wild,BTS,7425,7425,Dreamus
1,January,47,up,2,Eyes wide open,TWICE,7399,7399,Dreamus
1,January,48,up,24,Cle : LEVANTER,Stray Kids ,7366,7366,Dreamus
1,January,49,up,13,I am YOU,Stray Kids ,7110,7110,Dreamus
1,January,50,up,13,I am WHO,Stray Kids ,6925,6925,Dreamus
1,January,51,down,-41,Breath of Love : Last Piece,GOT7,6780,6780,Dreamus
1,January,52,up,14,Cle 1 : MIROH,Stray Kids ,6775,6775,Dreamus
1,January,53,down,-6,KILL THIS LOVE,BLACKPINK,6746,6746,YG PLUS
1,January,54,up,13,I am NOT,Stray Kids ,6710,6710,Dreamus
1,January,55,down,-21,Never Gonna Dance Again : Act 2 - The 3rd Album,TAEMIN,6599,6599,Dreamus
1,January,56,up,8,꿈의 장: STAR,TXT,6436,6436,Dreamus
1,January,57,down,-11,"O! RUL8 ,2?",BTS,6431,6431,Dreamus
1,January,58,up,3,꿈의 장: ETERNITY,TXT,6362,6362,Dreamus
1,January,59,up,70,REVEAL,THE BOYZ,6041,6041,Kakao Entertainment
1,January,60,up,25,NCT #127 WE ARE SUPERHUMAN - The 4th Mini Album,NCT 127,5924,5924,Dreamus
1,January,61,down,-59,One-reeler / Act IV,IZ*ONE ,5895,5895,"Genie Music, Stone Music Entertainment"
1,January,62,down,-7,SQUARE UP,BLACKPINK,5816,5816,YG PLUS
1,January,63,down,-23,MEMORY : illusion,ONEWE,5759,5759,Kakao Entertainment
1,January,64,down,-25,Skool Luv Affair,BTS,5545,5545,Dreamus
1,January,65,up,23,7th Mini Album `헹가래`,SEVENTEEN,5072,5072,"Genie Music, Stone Music Entertainment"
1,January,66,new,,I`m Not Cool,HyunA,5000,5000,Kakao Entertainment
1,January,67,new,,LUCKY MAN (Kit),BOBBY,5000,5000,YG PLUS
1,January,68,down,-26,Origine,B1A4,4995,4995,Sony Music
