OverviewPage,Team,N PlayerInTeam,Player,Role,Flag
LCK/2016 Season/Spring Playoffs,Afreeca Freecs,1,ikssu,Top,South Korea
LCK/2016 Season/Spring Playoffs,Afreeca Freecs,2,LirA,Jungle,South Korea
LCK/2016 Season/Spring Playoffs,Afreeca Freecs,3,Mickey (Son Young-min),Mid,South Korea
LCK/2016 Season/Spring Playoffs,Afreeca Freecs,4,Sangyoon,Bot,South Korea
LCK/2016 Season/Spring Playoffs,Afreeca Freecs,5,SnowFlower,Support,South Korea
LCK/2016 Season/Spring Playoffs,Afreeca Freecs,6,OnAir,Coach,South Korea
LCK/2016 Season/Spring Playoffs,Afreeca Freecs,7,AnimalDAX,Coach,South Korea
LCK/2016 Season/Spring Playoffs,Jin Air Green Wings,1,TrAce,Top,South Korea
LCK/2016 Season/Spring Playoffs,Jin Air Green Wings,2,Winged,Jungle,South Korea
LCK/2016 Season/Spring Playoffs,Jin Air Green Wings,3,Kuzan,Mid,South Korea
LCK/2016 Season/Spring Playoffs,Jin Air Green Wings,4,Pilot (Na Woo-hyung),Bot,South Korea
LCK/2016 Season/Spring Playoffs,Jin Air Green Wings,5,Chei,Support,South Korea
LCK/2016 Season/Spring Playoffs,Jin Air Green Wings,6,Han Sang-yong,Coach,South Korea
LCK/2016 Season/Spring Playoffs,Jin Air Green Wings,7,Sweet (Chun Jung-hee),Coach,South Korea
LCK/2016 Season/Spring Playoffs,KT Rolster,1,Ssumday,Top,South Korea
LCK/2016 Season/Spring Playoffs,KT Rolster,2,Score,Jungle,South Korea
LCK/2016 Season/Spring Playoffs,KT Rolster,3,Fly (Song Yong-jun),Mid,South Korea
LCK/2016 Season/Spring Playoffs,KT Rolster,4,Arrow,Bot,South Korea
LCK/2016 Season/Spring Playoffs,KT Rolster,5,Hachani,Support,South Korea
LCK/2016 Season/Spring Playoffs,KT Rolster,6,Lee Ji-hoon,Coach,South Korea
LCK/2016 Season/Spring Playoffs,KT Rolster,7,ZanDarc,Coach,South Korea
LCK/2016 Season/Spring Playoffs,ROX Tigers,1,Smeb,Top,South Korea
LCK/2016 Season/Spring Playoffs,ROX Tigers,2,Peanut,Jungle,South Korea
LCK/2016 Season/Spring Playoffs,ROX Tigers,3,Kuro,Mid,South Korea
LCK/2016 Season/Spring Playoffs,ROX Tigers,4,PraY,Bot,South Korea
LCK/2016 Season/Spring Playoffs,ROX Tigers,5,GorillA,Support,South Korea
